"","Date","Open","High","Low","Close","Volume"
"1",2016-11-01 11:00:00,64102,64102,63827,63871,314900
"2",2016-11-01 12:00:00,63873,63908,63835,63836,139355
"3",2016-11-01 13:00:00,63837,63905,63823,63887,165282
"4",2016-11-01 14:00:00,63889,63923,63860,63882,79836
"5",2016-11-01 15:00:00,63882,63898,63774,63810,180139
"6",2016-11-01 16:00:00,63810,63861,63710,63729,178377
"7",2016-11-01 17:00:00,63733,63868,63600,63810,328999
"8",2016-11-01 18:00:00,63810,63905,63785,63812,246204
"9",2016-11-01 19:00:00,63811,63858,63781,63805,90852
"10",2016-11-01 20:00:00,63780,64046,63737,63997,227803
"11",2016-11-01 21:00:00,63997,64059,63962,64029,84211
"12",2016-11-01 22:00:00,64031,64080,63911,63944,85020
"13",2016-11-01 23:00:00,63946,63980,63888,63894,41535
"14",2016-11-02 00:00:00,63895,64035,63886,64035,67260
"15",2016-11-02 11:00:00,64039,64190,64039,64056,272067
"16",2016-11-02 12:00:00,64061,64119,64014,64097,240550
"17",2016-11-02 13:00:00,64097,64266,64077,64210,246629
"18",2016-11-02 14:00:00,64207,64238,64163,64209,109395
"19",2016-11-02 15:00:00,64209,64222,64120,64145,209288
"20",2016-11-02 16:00:00,64142,64156,64094,64123,171566
"21",2016-11-02 17:00:00,64124,64150,64058,64068,117264
"22",2016-11-02 18:00:00,64066,64475,64003,64416,633118
"23",2016-11-02 19:00:00,64419,64495,64341,64456,221441
"24",2016-11-02 20:00:00,64437,64463,64392,64427,84582
"25",2016-11-02 21:00:00,64427,64542,64421,64463,85570
"26",2016-11-02 22:00:00,64466,64541,64274,64280,207094
"27",2016-11-02 23:00:00,64280,64300,64177,64206,86572
"28",2016-11-03 00:00:00,64205,64230,64190,64190,34666
"29",2016-11-03 11:00:00,64190,64217,64055,64124,258318
"30",2016-11-03 12:00:00,64124,64205,64119,64121,250203
"31",2016-11-03 13:00:00,64122,64349,64100,64319,198269
"32",2016-11-03 14:00:00,64319,64370,64200,64257,268779
