<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-12.16;60;20161101;110000;64.102.0000000;64.102.0000000;63.827.0000000;63.871.0000000;314.900
SPFB.Si-12.16;60;20161101;120000;63.873.0000000;63.908.0000000;63.835.0000000;63.836.0000000;139.355
SPFB.Si-12.16;60;20161101;130000;63.837.0000000;63.905.0000000;63.823.0000000;63.887.0000000;165.282
SPFB.Si-12.16;60;20161101;140000;63.889.0000000;63.923.0000000;63.860.0000000;63.882.0000000;79.836
SPFB.Si-12.16;60;20161101;150000;63.882.0000000;63.898.0000000;63.774.0000000;63.810.0000000;180.139
SPFB.Si-12.16;60;20161101;160000;63.810.0000000;63.861.0000000;63.710.0000000;63.729.0000000;178.377
SPFB.Si-12.16;60;20161101;170000;63.733.0000000;63.868.0000000;63.600.0000000;63.810.0000000;328.999
SPFB.Si-12.16;60;20161101;180000;63.810.0000000;63.905.0000000;63.785.0000000;63.812.0000000;246.204
SPFB.Si-12.16;60;20161101;190000;63.811.0000000;63.858.0000000;63.781.0000000;63.805.0000000;90.852
SPFB.Si-12.16;60;20161101;200000;63.780.0000000;64.046.0000000;63.737.0000000;63.997.0000000;227.803
SPFB.Si-12.16;60;20161101;210000;63.997.0000000;64.059.0000000;63.962.0000000;64.029.0000000;84.211
SPFB.Si-12.16;60;20161101;220000;64.031.0000000;64.080.0000000;63.911.0000000;63.944.0000000;85.020
SPFB.Si-12.16;60;20161101;230000;63.946.0000000;63.980.0000000;63.888.0000000;63.894.0000000;41.535
SPFB.Si-12.16;60;20161102;000000;63.895.0000000;64.035.0000000;63.886.0000000;64.035.0000000;67.260
SPFB.Si-12.16;60;20161102;110000;64.039.0000000;64.190.0000000;64.039.0000000;64.056.0000000;272.067
SPFB.Si-12.16;60;20161102;120000;64.061.0000000;64.119.0000000;64.014.0000000;64.097.0000000;240.550
SPFB.Si-12.16;60;20161102;130000;64.097.0000000;64.266.0000000;64.077.0000000;64.210.0000000;246.629
SPFB.Si-12.16;60;20161102;140000;64.207.0000000;64.238.0000000;64.163.0000000;64.209.0000000;109.395
SPFB.Si-12.16;60;20161102;150000;64.209.0000000;64.222.0000000;64.120.0000000;64.145.0000000;209.288
SPFB.Si-12.16;60;20161102;160000;64.142.0000000;64.156.0000000;64.094.0000000;64.123.0000000;171.566
SPFB.Si-12.16;60;20161102;170000;64.124.0000000;64.150.0000000;64.058.0000000;64.068.0000000;117.264
SPFB.Si-12.16;60;20161102;180000;64.066.0000000;64.475.0000000;64.003.0000000;64.416.0000000;633.118
SPFB.Si-12.16;60;20161102;190000;64.419.0000000;64.495.0000000;64.341.0000000;64.456.0000000;221.441
SPFB.Si-12.16;60;20161102;200000;64.437.0000000;64.463.0000000;64.392.0000000;64.427.0000000;84.582
SPFB.Si-12.16;60;20161102;210000;64.427.0000000;64.542.0000000;64.421.0000000;64.463.0000000;85.570
SPFB.Si-12.16;60;20161102;220000;64.466.0000000;64.541.0000000;64.274.0000000;64.280.0000000;207.094
SPFB.Si-12.16;60;20161102;230000;64.280.0000000;64.300.0000000;64.177.0000000;64.206.0000000;86.572
SPFB.Si-12.16;60;20161103;000000;64.205.0000000;64.230.0000000;64.190.0000000;64.190.0000000;34.666
SPFB.Si-12.16;60;20161103;110000;64.190.0000000;64.217.0000000;64.055.0000000;64.124.0000000;258.318
SPFB.Si-12.16;60;20161103;120000;64.124.0000000;64.205.0000000;64.119.0000000;64.121.0000000;250.203
SPFB.Si-12.16;60;20161103;130000;64.122.0000000;64.349.0000000;64.100.0000000;64.319.0000000;198.269
SPFB.Si-12.16;60;20161103;140000;64.319.0000000;64.370.0000000;64.200.0000000;64.257.0000000;268.779
SPFB.Si-12.16;60;20161103;150000;64.256.0000000;64.257.0000000;64.178.0000000;64.233.0000000;105.764
SPFB.Si-12.16;60;20161103;160000;64.233.0000000;64.282.0000000;64.184.0000000;64.187.0000000;110.941
SPFB.Si-12.16;60;20161103;170000;64.189.0000000;64.425.0000000;64.186.0000000;64.412.0000000;223.116
SPFB.Si-12.16;60;20161103;180000;64.409.0000000;64.438.0000000;64.247.0000000;64.352.0000000;187.169
SPFB.Si-12.16;60;20161103;190000;64.356.0000000;64.384.0000000;64.259.0000000;64.304.0000000;93.270
SPFB.Si-12.16;60;20161103;200000;64.314.0000000;64.449.0000000;64.288.0000000;64.396.0000000;106.117
SPFB.Si-12.16;60;20161103;210000;64.398.0000000;64.413.0000000;64.281.0000000;64.349.0000000;73.420
SPFB.Si-12.16;60;20161103;220000;64.347.0000000;64.368.0000000;64.272.0000000;64.303.0000000;36.928
SPFB.Si-12.16;60;20161103;230000;64.302.0000000;64.316.0000000;64.234.0000000;64.278.0000000;45.402
SPFB.Si-12.16;60;20161104;000000;64.280.0000000;64.300.0000000;64.153.0000000;64.195.0000000;54.636
SPFB.Si-12.16;60;20161107;110000;64.209.0000000;64.811.0000000;64.209.0000000;64.527.0000000;368.245
SPFB.Si-12.16;60;20161107;120000;64.527.0000000;64.567.0000000;64.504.0000000;64.544.0000000;124.187
SPFB.Si-12.16;60;20161107;130000;64.546.0000000;64.570.0000000;64.371.0000000;64.382.0000000;202.898
SPFB.Si-12.16;60;20161107;140000;64.384.0000000;64.466.0000000;64.383.0000000;64.454.0000000;121.915
SPFB.Si-12.16;60;20161107;150000;64.455.0000000;64.500.0000000;64.430.0000000;64.477.0000000;73.988
SPFB.Si-12.16;60;20161107;160000;64.477.0000000;64.484.0000000;64.389.0000000;64.395.0000000;105.068
SPFB.Si-12.16;60;20161107;170000;64.394.0000000;64.400.0000000;64.261.0000000;64.275.0000000;241.883
SPFB.Si-12.16;60;20161107;180000;64.277.0000000;64.408.0000000;64.254.0000000;64.398.0000000;219.242
SPFB.Si-12.16;60;20161107;190000;64.397.0000000;64.412.0000000;64.284.0000000;64.384.0000000;132.691
SPFB.Si-12.16;60;20161107;200000;64.385.0000000;64.496.0000000;64.365.0000000;64.387.0000000;109.921
SPFB.Si-12.16;60;20161107;210000;64.388.0000000;64.431.0000000;64.350.0000000;64.353.0000000;55.734
SPFB.Si-12.16;60;20161107;220000;64.353.0000000;64.384.0000000;64.166.0000000;64.194.0000000;98.706
SPFB.Si-12.16;60;20161107;230000;64.195.0000000;64.245.0000000;64.126.0000000;64.154.0000000;87.296
SPFB.Si-12.16;60;20161108;000000;64.157.0000000;64.229.0000000;64.146.0000000;64.214.0000000;33.524
SPFB.Si-12.16;60;20161108;110000;64.230.0000000;64.343.0000000;64.187.0000000;64.310.0000000;188.276
SPFB.Si-12.16;60;20161108;120000;64.309.0000000;64.384.0000000;64.266.0000000;64.308.0000000;229.663
SPFB.Si-12.16;60;20161108;130000;64.309.0000000;64.328.0000000;64.272.0000000;64.308.0000000;105.435
SPFB.Si-12.16;60;20161108;140000;64.309.0000000;64.392.0000000;64.285.0000000;64.390.0000000;135.813
SPFB.Si-12.16;60;20161108;150000;64.390.0000000;64.418.0000000;64.363.0000000;64.390.0000000;126.658
SPFB.Si-12.16;60;20161108;160000;64.390.0000000;64.429.0000000;64.369.0000000;64.395.0000000;117.651
SPFB.Si-12.16;60;20161108;170000;64.395.0000000;64.403.0000000;64.303.0000000;64.334.0000000;113.768
